track,artist,popularity,artist_popularity,artist_followers,duration_min,is_explicit,release_year,genre,album_tracks,hit_flag
Breaking the Habit,Linkin Park,44,88,31785695,3.28,0,2024,nu metal,20,0
BURN IT DOWN,Linkin Park,46,88,31796892,3.83,0,2024,nu metal,20,0
CASTLE OF GLASS,Linkin Park,44,88,31796892,3.42,0,2024,nu metal,20,0
Illusion,Dua Lipa,6,85,46895665,3.13,0,2024,pop,4,0
Life,ConKi,64,61,26106,2.16,0,2024,Other,1,0
Secrets,Omido,63,59,72172,2.63,0,2024,dark r&b,1,0
Slow It Down,Benson Boone,83,83,7045466,2.69,0,2024,Other,15,1
OKLOSER,Doja Cat,54,86,34735147,2.81,1,2024,Other,24,0
All the Things She Said,Robin Schulz,69,75,3275657,2.75,0,2024,tropical house,1,0
Beautiful Things,Benson Boone,88,83,7045466,3.0,0,2024,Other,15,1
"Good Luck, Babe!",Chappell Roan,89,82,7305071,3.64,0,2024,Other,1,1
I Don't Wanna Wait,David Guetta,80,87,27143729,2.49,0,2024,edm,2,1
i like the way you kiss me,Artemas,60,74,1377042,2.37,0,2024,Other,5,0
Winter,RIELL,37,52,78423,3.06,0,2024,Other,7,0
Santa,Rvssian,74,71,2726605,3.21,0,2024,trap latino,1,1
angel dust,akira2k,47,30,2899,1.81,0,2024,electroclash,1,0
Monster,Don Diablo,62,64,1844627,2.4,0,2024,future house,1,0
II MOST WANTED,Beyoncé,62,84,41172203,3.47,0,2024,Other,27,0
Favorite,Isabel LaRosa,72,71,2569728,2.22,0,2024,Other,4,1
Feel It (From “Invincible”),d4vd,80,79,4681304,2.63,0,2024,Other,1,1
Hello Shadow,Sugar Jesus,49,47,4569,3.01,0,2024,Other,1,0
I've been here before,Sopperior,30,30,2964,1.89,0,2024,Other,1,0
II MOST WANTED,Beyoncé,53,84,41172203,3.47,0,2024,Other,27,0
Animals,Umur Anil Gokdag,52,56,18834,2.41,0,2024,Other,1,0
Magnetic,ILLIT,81,74,3756729,2.67,0,2024,k-pop,4,1
Like That,Future,82,88,22682234,4.46,1,2024,rap,17,1
logical,Olivia Rodrigo,59,84,49050008,3.86,0,2024,pop rock,17,0
love is embarrassing,Olivia Rodrigo,60,85,49083617,2.57,1,2024,pop rock,17,0
magic,Medasin,66,53,146812,5.94,0,2024,future bass,9,0
Magic Don Juan (Princess Diana),Future,58,88,22688560,3.67,1,2024,rap,17,0
making the bed,Olivia Rodrigo,61,84,49050008,3.31,0,2024,pop rock,17,0
No Machine,Adrianne Lenker,54,72,1453910,3.0,0,2024,Other,12,0
obsessed,Olivia Rodrigo,74,85,49083617,2.84,1,2024,pop rock,17,1
GTA,Future,64,88,22675640,3.88,1,2024,rap,17,0
Ice Attack,Future,62,88,22675640,3.32,1,2024,rap,17,0
Kisses (feat. bbyclose),BL3SS,23,66,52913,2.3,0,2024,Other,1,0
lacy,Olivia Rodrigo,61,85,49067177,2.95,0,2024,pop rock,17,0
Where My Twin @ - Bonus,Future,53,88,22688560,2.04,1,2024,rap,17,0
WTFYM,Future,56,88,22682234,4.87,1,2024,rap,17,0
Young Metro,Future,68,88,22675640,3.42,1,2024,rap,17,0
Oxygen,Now O Later,22,43,2595,2.63,0,2024,hypertechno,1,0
pretty isn’t pretty,Olivia Rodrigo,61,85,49067177,3.32,1,2024,pop rock,17,0
Runnin Outta Time,Future,57,88,22675640,3.42,1,2024,rap,17,0
scared of my guitar,Olivia Rodrigo,69,85,49067177,4.39,0,2024,pop rock,17,0
Seen it All,Future,53,88,22688560,2.99,1,2024,rap,17,0
Slimed In,Future,57,88,22675640,3.24,1,2024,rap,17,0
so american,Olivia Rodrigo,73,85,49083617,2.82,1,2024,pop rock,17,1
stranger,Olivia Rodrigo,71,85,49067177,3.21,0,2024,pop rock,17,1
Ain't No Love,Future,55,88,22675640,3.04,1,2024,rap,17,0
all-american bitch,Olivia Rodrigo,62,85,49083617,2.76,1,2024,pop rock,17,0
bad idea right?,Olivia Rodrigo,61,84,49050008,3.07,1,2024,pop rock,17,0
ballad of a homeschooled girl,Olivia Rodrigo,61,85,49083617,3.38,0,2024,pop rock,17,0
Cinderella,Future,72,88,22675640,2.83,1,2024,rap,17,1
teenage dream,Olivia Rodrigo,59,84,49050008,3.7,0,2024,pop rock,17,0
the grudge,Olivia Rodrigo,60,84,49050008,3.15,1,2024,pop rock,17,0
Too Sweet,Hozier,75,82,9111905,4.19,0,2024,Other,4,1
Too Sweet,Hozier,12,82,9112977,4.19,0,2024,Other,20,0
Type Shit,Future,80,88,22675640,3.8,1,2024,rap,17,1
vampire,Olivia Rodrigo,60,84,49050008,3.66,1,2024,pop rock,17,0
We Don't Trust You,Future,67,88,22675640,3.77,1,2024,rap,17,0
Whatcha Say,LIZOT,47,60,110333,2.32,0,2024,slap house,1,0
Whatever (with Ava Max) - Tiësto Remix,Kygo,47,76,8670011,2.76,0,2024,tropical house,1,0
Claustrophobic,Future,56,88,22682234,3.7,1,2024,rap,17,0
Everyday Hustle,Future,68,88,22682234,3.78,1,2024,rap,17,0
Fall Back,Lithe,49,69,513404,2.15,0,2024,dark r&b,2,0
Fried (She a Vibe),Future,65,88,22688560,3.5,1,2024,rap,17,0
get him back!,Olivia Rodrigo,61,84,49050008,3.51,1,2024,pop rock,17,0
girl i’ve always been,Olivia Rodrigo,65,85,49067177,2.02,0,2024,pop rock,17,0
Slow It Down,Benson Boone,69,83,7045466,2.69,0,2024,Other,1,0
Jump,Tyla,63,77,3505794,2.45,0,2024,afrobeats,1,0
Cheerleader,Porter Robinson,45,59,1220599,3.95,0,2024,edm,1,0
i like the way you kiss me,Artemas,80,74,1377042,2.37,0,2024,Other,1,1
Lady Killers II,G-Eazy,77,74,6295804,4.96,1,2024,Other,1,1
SLAY!,Eternxlkz,76,66,613747,1.78,1,2024,phonk,4,1
Speed Of Light,LEIDAN,42,24,545,2.83,0,2024,Other,1,0
Let You Down (with Gabry Ponte),DVBBS,45,56,1057994,2.48,0,2024,edm,1,0
Never Lose Me,Flo Milli,71,67,1567636,2.09,1,2024,Other,14,1
Not So Bad,NO FEELS,26,19,610,2.86,0,2024,deep house,1,0
What I Am,ZAYN,47,77,24105967,3.52,1,2024,Other,1,0
Fire! (Tribbs Remix),Alan Walker,42,78,41266350,1.76,0,2024,Other,1,0
don't wanna break up again,Ariana Grande,70,90,107389514,2.9,1,2024,pop,13,1
eternal sunshine,Ariana Grande,73,90,107401919,3.5,0,2024,pop,13,1
Fetish,Emilio,27,41,2292,2.84,0,2024,hypertechno,1,0
Saturn Returns Interlude,Ariana Grande,59,90,107374593,0.7,0,2024,pop,13,0
Spotlight - og version,Lil Peep,48,82,15689879,2.86,0,2024,emo rap,3,0
Hate Me - og version,Lil Peep,44,82,15684530,3.97,1,2024,emo rap,3,0
i wish i hated you,Ariana Grande,71,90,107374593,2.56,0,2024,pop,13,1
imperfect for you,Ariana Grande,68,90,107401919,3.04,1,2024,pop,13,0
intro (end of the world),Ariana Grande,77,90,107374593,1.54,1,2024,pop,13,1
Journey,Hans Zimmer,31,77,4777574,1.86,0,2024,soundtrack,22,0
"yes, and?",Ariana Grande,72,90,107401919,3.58,1,2024,pop,13,1
supernatural,Ariana Grande,82,90,107374593,2.72,0,2024,pop,13,1
the boy is mine,Ariana Grande,79,90,107401919,2.89,1,2024,pop,13,1
true story,Ariana Grande,66,90,107401919,2.72,0,2024,pop,13,0
we can't be friends (wait for your love),Ariana Grande,79,90,107374593,3.81,0,2024,pop,13,1
act ii: date @ 8 (feat. Drake) - remix,4batz,70,62,669148,3.85,1,2024,Other,1,1
bye,Ariana Grande,73,90,107401919,2.74,0,2024,pop,13,1
LET THE WORLD BURN,Chris Grey,79,72,963679,2.72,0,2024,dark r&b,2,1
Looking For You,Lil Peep,49,82,15684530,3.3,1,2024,emo rap,3,0
ordinary things (feat. Nonna),Ariana Grande,62,90,107401919,2.8,0,2024,pop,13,0
Beautiful Things,midnight Berlin,42,42,4171,2.05,0,2024,hypertechno,1,0
UP!,Forrest Frank,66,77,2268298,2.28,0,2024,christian,1,0
Overcompensate (edit),Twenty One Pilots,48,83,25762646,3.17,0,2024,Other,2,0
My Love - Slowed + Reverb,932sounds,17,31,23317,5.68,1,2024,Other,1,0
Symphony,ILURO,23,41,8658,2.2,0,2024,Other,1,0
HELLO,Chris Gold,29,21,3925,2.04,0,2024,Other,1,0
I See Lights,Zauntee,42,46,141405,1.92,0,2024,christian hip hop,20,0
SLEEP TONIGHT (THIS IS THE LIFE) - with R3HAB and Sam Feldt,Switch Disco,54,53,122782,2.27,1,2024,Other,1,0
Sorry,Sandëro,0,44,5733,2.67,0,2024,Other,1,0
Worm Ride,Hans Zimmer,50,77,4777574,2.33,0,2024,soundtrack,25,0
A Time of Quiet Between the Storms,Hans Zimmer,60,77,4780589,4.36,0,2024,soundtrack,25,0
Beautiful Things - Acoustic,Benson Boone,72,83,7050520,3.35,0,2024,Other,6,1
Saturn,SZA,77,87,33043825,3.1,0,2024,r&b,5,1
You Make My Heart Go,Sad Puppy,53,48,45292,2.1,0,2024,hypertechno,1,0
Tell më,Yeat,62,79,5976603,4.06,1,2024,rage rap,22,0
Darlin',Chase Matthew,69,64,468383,2.75,0,2024,country,6,0
linger x duvet,SUKI,0,29,3595,1.88,0,2024,Other,1,0
Now,Niklas Dee,35,64,84858,2.91,0,2024,hypertechno,1,0
Prada,midnight Berlin,40,42,4170,2.12,0,2024,hypertechno,2,0
If We Being Rëal,Yeat,75,79,5978358,2.87,1,2024,rage rap,22,1
Angel Of Darkness,Ericovich,33,41,11030,2.18,0,2024,nightcore,1,0
Austin (Boots Stop Workin'),Dasha,82,67,416933,2.86,1,2024,Other,8,1
Belong Together,Mark Ambor,75,66,685131,2.47,0,2024,Other,1,1
Training Season,Dua Lipa,74,85,46886554,3.49,0,2024,pop,4,1
Whatever She Wants,Bryson Tiller,76,80,10566213,2.68,1,2024,trap soul,1,1
TEXAS HOLD 'EM,Beyoncé,73,84,41172203,3.89,1,2024,Other,1,1
TEXAS HOLD 'EM,Beyoncé,58,84,41172203,3.89,1,2024,Other,3,0
Acquainted,The Weeknd,39,93,112918137,5.81,1,2024,r&b pop,36,0
CARNIVAL,¥$,10,69,1042697,4.4,1,2024,Other,16,0
Cruel Summer,RIELL,39,52,78478,3.97,0,2024,Other,13,0
Drowning In Us,Now O Later,20,43,2595,2.56,0,2024,hypertechno,1,0
Lovin On Me,midnight Berlin,40,42,4083,2.28,0,2024,hypertechno,1,0
make you mine,Madison Beer,81,74,8500847,3.69,0,2024,Other,1,1
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,62,93,112957721,4.07,0,2024,r&b pop,36,0
Popular (with Playboi Carti & Madonna),The Weeknd,58,93,112957721,3.59,1,2024,r&b pop,36,0
Song For the Earth,Jonna Jinton,43,38,71238,1.08,0,2024,celtic,8,0
Tell Ur Girlfriend,Lay Bankz,9,63,721666,2.07,1,2024,jersey club,1,0
ANGELS LIKE YOU,Umur Anil Gokdag,42,56,18834,1.93,0,2024,Other,1,0
exes - Regard Remix,Tate McRae,50,88,9249502,3.04,1,2024,pop,1,0
Gata Only,FloyyMenor,84,76,2186739,3.7,1,2024,reggaeton chileno,1,1
Memories,Dean Lewis,57,75,4156314,2.99,0,2024,Other,1,0
[Solo-Leveling]SymphonicSuite-Lv.8,Sawano Hiroyuki,41,65,728021,2.68,0,2024,anime,1,0
Rescue Light,Hurricane on Saturn,43,39,4952,3.32,1,2024,Other,1,0
Past Lives - K-391 Remix,sapientdream,29,57,224595,2.94,0,2024,Other,1,0
Popular (with Playboi Carti & Madonna),The Weeknd,34,93,112957721,3.59,0,2024,r&b pop,5,0
STAR WALKIN',IAN SIZE,35,32,1843,2.85,1,2024,melodic bass,1,0
ur special to me,Artemas,42,74,1378074,1.9,0,2024,Other,4,0
Marry Me,GOVAN,41,34,1434,3.25,0,2024,Other,1,0
HISS,Megan Thee Stallion,61,76,10888670,3.21,1,2024,Other,1,0
Dernière danse - Techno Mix,Indila,72,69,2546276,3.28,0,2024,french pop,1,1
FUNKED UP - SLOWED,xxanteria,71,58,462135,1.92,0,2024,phonk,3,1
Never Let This Go,Tom Frane,46,48,85781,2.23,0,2024,Other,1,0
Beautiful Things,Benson Boone,84,83,7055537,3.0,0,2024,Other,1,1
"The Statues of Music (from Solo Leveling"") - Cover""",Diego Mitre,34,56,28150,2.91,0,2024,anime,1,0
Home,Good Neighbours,4,66,218657,2.62,0,2024,Other,1,0
LALALA,Umur Anil Gokdag,48,56,18840,2.07,1,2024,Other,1,0
Igual Que Un Ángel (with Peso Pluma),Kali Uchis,76,83,9469943,4.33,0,2024,Other,14,1
Mwaki - Tiësto's VIP Mix,Zerb,65,68,174894,2.67,0,2024,afro house,3,0
Not My Fault (with Megan Thee Stallion),Reneé Rapp,65,72,1261419,2.84,1,2024,Other,13,0
Wish I Didn't Love You,BEAUZ,36,58,210805,2.43,0,2024,hard techno,1,0
"yes, and?",Ariana Grande,71,90,107374593,3.58,1,2024,pop,1,1
redrum,21 Savage,78,84,23813959,4.51,1,2024,Other,15,1
Scared To Start,Michael Marcagi,79,64,274140,2.66,0,2024,Other,1,1
Talk To My Body,LIZOT,45,60,110282,2.45,0,2024,slap house,1,0
The Reason,Hoobastank,83,66,2742164,3.88,0,2024,nu metal,17,1
Deep In Your Love,Alok,65,76,11247155,2.41,0,2024,brazilian bass,1,0
Don't Call Me Up - LA Vision Remix,Madism,38,55,31871,2.06,0,2024,tropical house,2,0
Cheri Cheri Lady - Slowed,lilster,0,45,16330,3.85,0,2024,jersey club,1,0
Carsick,K.Flay,36,61,644963,2.74,1,2024,Other,1,0
All My Life,Tiësto,59,80,7978695,2.44,0,2024,edm,1,0
I Wouldn't Mind (Remix) - Merrily We Fall out of Line,Hiko,0,56,139354,3.24,0,2024,nightcore,1,0
One Of The Girls X The Hills - Sped Up,Mckyyy,45,59,104869,2.7,0,2024,Other,3,0
Strangers,Lewis Capaldi,63,79,14039018,3.57,0,2024,soft pop,17,0
greedy,midnight Berlin,42,42,4083,1.83,0,2023,hypertechno,1,0
Praise Jah In The Moonlight,YG Marley,72,56,679601,4.38,0,2023,reggae,1,1
I Wouldn't Mind - wterf11 Remix,dreamsoda,0,59,100865,3.71,0,2023,Other,1,0
"1, 2, 3 (with Topic)",Oliver Cronin,38,39,65719,2.18,0,2023,Other,1,0
act ii: date @ 8,4batz,63,62,668950,1.89,1,2023,Other,1,0
Animals,Johnning,25,51,43179,3.03,0,2023,Other,1,0
TALK ABOUT SEX,Umur Anil Gokdag,47,56,18840,1.9,0,2023,Other,2,0
Made it this far,Pirate Hunter,0,13,666,4.79,0,2023,Other,1,0
run for the hills,Tate McRae,83,88,9256589,2.39,1,2023,pop,14,1
Still Holding Me,ILURO,22,41,8657,2.66,0,2023,Other,1,0
What're We Doing Here,ALEXSUCKS,0,45,35428,3.08,1,2023,Other,1,0
exes,Tate McRae,83,88,9256589,2.65,1,2023,pop,14,1
FTCU,Nicki Minaj,68,84,34293318,2.86,1,2023,Other,22,0
BELLAKEO,Peso Pluma,71,86,23973526,3.28,1,2023,corrido,1,1
Cooler Than Me,Groove Crackers,12,47,6622,2.1,0,2023,hypertechno,1,0
LUNA,Feid,84,86,18885687,3.28,0,2023,reggaeton,10,1
Montagem Mysterious Game,LXNGVX,72,67,616853,1.72,0,2023,phonk,3,1
When Love Takes Over,Blue Man,21,28,3312,2.37,0,2023,Other,1,0
you & i - sped up,lucidbeatz,62,62,249255,2.22,0,2023,Other,2,0
Sweet Lies - Sped Up,Chaël,45,37,6268,2.43,0,2023,lounge,1,0
This City,Sam Fischer,61,55,341193,3.26,0,2023,Other,15,0
Never Lose Me,Flo Milli,71,67,1566996,2.09,1,2023,Other,1,1
I Wanna Go - Techno Version,Hyper Kenzo,42,46,11490,1.98,0,2023,hypertechno,1,0
La Diabla,Xavi,74,76,8453736,2.87,0,2023,corridos tumbados,1,1
You’re Losing Me (From The Vault),Taylor Swift,74,100,145489371,4.63,0,2023,country,1,1
look what you've done to me (feat. Mellina Tey),zandros,0,57,77411,2.81,0,2023,dark r&b,3,0
therapy,Gloria Kim,35,40,7972,2.28,0,2023,melbourne bounce,1,0
Time Machine (with MSPUIYI),Gammer,38,47,67573,2.45,0,2023,happy hardcore,1,0
Unstoppable,IAN SIZE,27,32,1843,2.45,0,2023,melodic bass,1,0
Strangers,midnight Berlin,41,42,4170,2.34,0,2023,hypertechno,1,0
LET'S GET FKD UP,Alok,75,76,11247155,2.02,1,2023,brazilian bass,1,1
ONE CALL,Rich Amiri,73,66,794589,2.02,1,2023,rage rap,14,1
exes,Tate McRae,4,88,9256589,2.65,1,2023,pop,2,0
"Winter, Spring, Summer and Fall",Jeremy Zuckerman,35,43,23528,1.81,0,2023,Other,35,0
would've been you,sombr,79,85,2789144,3.05,0,2023,Other,1,1
Iroh's Tsungi Horn,Jeremy Zuckerman,41,43,23528,1.57,0,2023,Other,35,0
Just a Simple Monk,Jeremy Zuckerman,31,44,23557,1.13,0,2023,Other,35,0
Agni Kai,Jeremy Zuckerman,42,43,23528,3.15,0,2023,Other,35,0
Avatar: The Last Airbender - End Credits,Jeremy Zuckerman,34,43,23528,0.87,0,2023,Other,35,0
Avatar: The Last Airbender - Premiere Main Title,Jeremy Zuckerman,39,43,23528,1.86,0,2023,Other,35,0
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,74,84,49050008,3.42,0,2023,pop rock,17,1
Solo,Myles Smith,70,74,1322522,3.32,0,2023,Other,1,1
Water,Tyla,65,77,3509163,3.19,0,2023,afrobeats,1,0
Strong Enough (feat. Bailey Zimmerman),Jonas Brothers,58,75,7761878,2.48,0,2023,Other,1,0
THE DRIVER,Måneskin,65,76,10638829,3.13,0,2023,Other,22,0
TIMEZONE,Måneskin,51,76,10636129,2.99,1,2023,Other,22,0
TRASTEVERE,Måneskin,60,76,10636129,3.03,0,2023,Other,22,0
VALENTINE,Måneskin,64,76,10636129,3.61,0,2023,Other,22,0
Angel Numbers / Ten Toes,Chris Brown,77,87,28327351,5.11,1,2023,r&b,22,1
"Better Off (Alone, Pt. III)",Alan Walker,3,78,41264069,2.52,0,2023,Other,10,0
BLA BLA BLA,Måneskin,50,76,10638829,3.07,1,2023,Other,22,0
GASOLINE,Måneskin,51,76,10637574,3.68,0,2023,Other,22,0
Lovin On Me,Jack Harlow,77,75,4349241,2.3,1,2023,Other,1,1
Mosquito,PinkPantheress,63,78,4761364,2.43,0,2023,bedroom pop,13,0
NIGHTS LIKE THIS,The Kid LAROI,86,79,6595164,1.44,0,2023,Other,20,1
nostalgia.mp3,jan2k1,42,28,2843,1.31,0,2023,breakcore,3,0
OFF MY FACE,Måneskin,65,76,10640396,2.49,0,2023,Other,22,0
RUSH,Dutch Melrose,62,64,318012,2.86,0,2023,dark r&b,2,0
GOSSIP (feat. Tom Morello),Måneskin,51,76,10636129,2.8,1,2023,Other,22,0
Houdini,Dua Lipa,12,85,46891061,3.09,0,2023,pop,1,0
Pickup Man,HIXTAPE,54,56,115659,3.6,0,2023,country,2,0
Seven (feat. Latto) (Explicit Ver.),Jung Kook,83,79,18615260,3.05,1,2023,k-pop,11,1
Standing Next to You,Jung Kook,82,79,18620976,3.43,0,2023,k-pop,11,1
Control,Zoe Wees,68,62,579294,3.84,0,2023,Other,20,0
THE MIST,Kae,0,50,25025,3.56,1,2023,dark r&b,10,0
THE REPLACEMENT,Kae,0,50,25007,2.54,1,2023,dark r&b,10,0
THE WITHDRAWALS,Kae,45,50,25025,2.65,0,2023,dark r&b,10,0
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,72,84,49050008,3.42,0,2023,pop rock,1,1
Celebrate - Beave Remix,Dici,43,25,3680,2.69,0,2023,Other,2,0
Rain on Me,FIXL,41,46,3963,2.31,0,2023,tropical house,1,0
Perfect Night,LE SSERAFIM,76,78,7960904,2.65,0,2023,k-pop,1,1
Sick Of Your Love,Gio Mkl,0,38,33312,2.27,1,2023,Other,2,0
just for now,Arya,38,23,1867,3.02,0,2023,Other,1,0
You Don't Belong To Me,Thomas Day,40,56,259120,3.54,0,2023,Other,10,0
Wildest Dreams (Taylor's Version),Taylor Swift,75,100,145542136,3.67,0,2023,country,21,1
You Are In Love (Taylor's Version),Taylor Swift,69,100,145443567,4.45,0,2023,country,21,0
"Slut!"" (Taylor's Version) (From The Vault)""",Taylor Swift,73,100,145396321,3.0,0,2023,country,21,1
Style (Taylor's Version),Taylor Swift,73,100,145443567,3.85,0,2023,country,21,1
This Love (Taylor’s Version),Taylor Swift,69,100,145443567,4.16,0,2023,country,21,0
Clean (Taylor's Version),Taylor Swift,68,100,145489371,4.51,0,2023,country,21,0
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,72,100,145443567,3.82,0,2023,country,21,1
someday i'll get it,Alek Olsen,75,57,136639,1.57,0,2023,Other,1,1
Stay,MarchY,46,37,794,2.67,0,2023,Other,1,0
if u think i'm pretty,Artemas,0,74,1378074,2.13,0,2023,Other,1,0
Dance With Me,Besomorph,1,58,146944,2.36,0,2023,slap house,1,0
DIZZYNUMB,NEVE,24,25,19649,2.6,0,2023,Other,1,0
TOO MUCH,The Kid LAROI,63,79,6596750,3.39,1,2023,Other,1,0
TELEFONO NUEVO,Bad Bunny,72,95,102571645,5.91,1,2023,reggaeton,22,1
THUNDER Y LIGHTNING,Bad Bunny,70,95,102500980,3.61,1,2023,reggaeton,22,1
UN PREVIEW,Bad Bunny,67,95,102536542,2.75,1,2023,reggaeton,22,0
VOU 787,Bad Bunny,66,95,102536542,2.06,1,2023,reggaeton,22,0
VUELVE CANDY B,Bad Bunny,69,95,102500980,4.43,1,2023,reggaeton,22,0
CYBERTRUCK,Bad Bunny,71,95,102500980,3.19,1,2023,reggaeton,22,1
EUROPA :),Bad Bunny,13,95,102500980,0.19,0,2023,reggaeton,22,0
FINA,Bad Bunny,74,95,102500980,3.6,1,2023,reggaeton,22,1
WHERE SHE GOES,Bad Bunny,70,95,102571645,3.86,1,2023,reggaeton,22,1
abcdefu (HYPERTECHNO Remix),Ericovich,34,41,11030,2.1,1,2023,nightcore,1,0
ACHO PR,Bad Bunny,70,95,102500980,5.99,1,2023,reggaeton,22,1
BABY NUEVA,Bad Bunny,71,95,102500980,4.01,1,2023,reggaeton,22,1
BATICANO,Bad Bunny,67,95,102536542,4.26,1,2023,reggaeton,22,0
Got Me Started,Troye Sivan,68,72,9463246,3.3,1,2023,Other,10,0
GRACIAS POR NADA,Bad Bunny,66,95,102571645,2.95,1,2023,reggaeton,22,0
HIBIKI,Bad Bunny,72,95,102500980,3.46,1,2023,reggaeton,22,1
LOS PITS,Bad Bunny,69,95,102536542,4.18,1,2023,reggaeton,22,0
MERCEDES CAROTA,Bad Bunny,71,95,102500980,3.37,1,2023,reggaeton,22,1
MONACO,Bad Bunny,80,95,102536542,4.45,1,2023,reggaeton,22,1
MR. OCTOBER,Bad Bunny,72,95,102536542,3.15,1,2023,reggaeton,22,1
NADIE SABE,Bad Bunny,71,95,102571645,6.31,1,2023,reggaeton,22,1
NO ME QUIERO CASAR,Bad Bunny,79,95,102500980,3.76,1,2023,reggaeton,22,1
One in a Million - Alok Remix,Bebe Rexha,39,76,9839947,2.38,0,2023,Other,2,0
One Of Your Girls,Troye Sivan,60,72,9462835,3.02,0,2023,Other,10,0
PERRO NEGRO,Bad Bunny,82,95,102571645,2.71,1,2023,reggaeton,22,1
SEDA,Bad Bunny,70,95,102500980,3.17,1,2023,reggaeton,22,1
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,78,95,103094105,5.31,1,2023,rap,23,1
You & Me,JENNIE,67,81,12320084,2.98,0,2023,k-pop,2,0
First Person Shooter (feat. J. Cole),Drake,72,95,103039388,4.12,1,2023,rap,23,1
Beggin',Besomorph,0,58,146894,2.1,0,2023,slap house,1,0
IDGAF (feat. Yeat),Drake,75,95,103039388,4.33,1,2023,rap,23,1
3D (feat. Jack Harlow),Jung Kook,73,79,18615260,3.36,1,2023,k-pop,3,1
Mahrex of Isoko,Mahrex,21,9,127,3.12,1,2023,alté,4,0
abuse me,Ex Habit,59,59,130408,3.14,0,2023,dark r&b,1,0
無詠唱魔術,藤澤慶昌,24,40,13575,2.53,0,2023,anime,38,0
This Kiss,Faith Hill,38,60,1956457,3.24,0,2023,country,45,0
Super Graphic Ultra Modern Girl,Chappell Roan,68,82,7310428,3.06,0,2023,Other,14,0
500lbs,Lil Tecca,78,79,10166733,2.4,1,2023,melodic rap,16,1
After Midnight,Chappell Roan,68,82,7310428,3.41,0,2023,Other,14,0
Agora Hills,Doja Cat,75,86,34748949,4.42,1,2023,Other,17,1
Black Friday,Tom Odell,72,76,4309419,3.69,0,2023,Other,1,1
California,Chappell Roan,62,82,7299563,3.3,0,2023,Other,14,0
Casual,Chappell Roan,80,82,7310428,3.87,1,2023,Other,14,1
Picture You,Chappell Roan,68,82,7299563,3.11,0,2023,Other,14,0
Pink Pony Club,Chappell Roan,84,82,7299563,4.3,0,2023,Other,14,1
Red Wine Supernova,Chappell Roan,79,82,7299563,3.21,1,2023,Other,14,1
My Kink Is Karma,Chappell Roan,69,82,7305071,3.7,0,2023,Other,14,0
Naked In Manhattan,Chappell Roan,72,82,7299563,3.51,1,2023,Other,14,1
Guilty Pleasure,Chappell Roan,62,82,7305071,3.74,0,2023,Other,14,0
HOT TO GO!,Chappell Roan,76,82,7299563,3.08,0,2023,Other,14,1
Jungle,Alok,70,76,11246962,2.92,0,2023,brazilian bass,1,1
Kaleidoscope,Chappell Roan,64,82,7310428,3.71,0,2023,Other,14,0
Coffee,Chappell Roan,65,82,7299563,3.42,0,2023,Other,14,0
Femininomenon,Chappell Roan,76,82,7299563,3.66,1,2023,Other,14,1
Pink Pony Club,Chappell Roan,83,82,7299563,4.3,0,2023,Other,14,1
Paint The Town Red,Doja Cat,76,86,34748949,3.84,1,2023,Other,15,1
Agora Hills,Doja Cat,77,86,34742256,4.42,1,2023,Other,15,1
cross my heart,Artemas,0,74,1377042,2.43,0,2023,Other,1,0
Showed Me (How I Fell In Love With You),Madison Beer,54,75,8508071,3.26,0,2023,Other,14,0
Where Are You Now,Mazdem,29,41,49348,2.34,0,2023,techengue,1,0
The Door,Teddy Swims,86,83,5674855,3.54,0,2023,Other,10,1
ANXIETY (feat. Doechii),Sleepy Hallow,72,70,2542055,2.48,1,2023,brooklyn drill,18,1
greedy,Tate McRae,87,88,9256589,2.19,1,2023,pop,1,1
ily - tiktok version,kirkiimad,34,29,60814,2.56,0,2023,Other,4,0
Lose Control,Teddy Swims,89,83,5670437,3.51,0,2023,Other,10,1
Made For Me,Muni Long,69,65,972319,3.13,0,2023,Other,1,0
My Love Mine All Mine,Mitski,86,78,11034315,2.29,0,2023,Other,11,1
older,Isabel LaRosa,77,71,2569728,2.29,0,2023,Other,2,1
older sped up,Isabel LaRosa,61,71,2570848,2.08,0,2023,Other,2,0
Sapphire,Perpetualll,34,39,20007,2.57,0,2023,witch house,1,0
Around The World (La La La La),Umur Anil Gokdag,51,56,18834,1.88,0,2023,Other,2,0
all-american bitch,Olivia Rodrigo,73,85,49067177,2.76,1,2023,pop rock,12,1
bad idea right?,Olivia Rodrigo,76,85,49083617,3.07,1,2023,pop rock,12,1
ballad of a homeschooled girl,Olivia Rodrigo,69,84,49050008,3.38,0,2023,pop rock,12,0
logical,Olivia Rodrigo,70,85,49083617,3.86,0,2023,pop rock,12,1
Look What You've Done,Dybbukk,48,59,106672,1.45,1,2023,Other,1,0
love is embarrassing,Olivia Rodrigo,73,85,49067177,2.57,1,2023,pop rock,12,1
making the bed,Olivia Rodrigo,78,85,49067177,3.31,0,2023,pop rock,12,1
